,predicted_mean
2021-11-12 01:00:00+00:00,558791.3023637233
2021-11-12 01:15:00+00:00,950526.7939918255
2021-11-12 01:30:00+00:00,481893.70036085095
2021-11-12 01:45:00+00:00,68680.54428565205
2021-11-12 02:00:00+00:00,18086.09520347513
2021-11-12 02:15:00+00:00,1099877.004459692
2021-11-12 02:30:00+00:00,442340.42503175803
2021-11-12 02:45:00+00:00,46731.62674520095
2021-11-12 03:00:00+00:00,90524.66432225413
2021-11-12 03:15:00+00:00,790064.8912375045
2021-11-12 03:30:00+00:00,745058.7260052147
2021-11-12 03:45:00+00:00,128838.6447713835
2021-11-12 04:00:00+00:00,562201.8079171707
2021-11-12 04:15:00+00:00,953937.299545273
2021-11-12 04:30:00+00:00,485304.20591429836
2021-11-12 04:45:00+00:00,65270.038732204644
2021-11-12 05:00:00+00:00,14675.589650027723
2021-11-12 05:15:00+00:00,1103287.5100131393
2021-11-12 05:30:00+00:00,445750.93058520544
2021-11-12 05:45:00+00:00,43321.12119175354
2021-11-12 06:00:00+00:00,93935.16987570154
2021-11-12 06:15:00+00:00,793475.396790952
2021-11-12 06:30:00+00:00,748469.2315586621
2021-11-12 06:45:00+00:00,132249.1503248309
2021-11-12 07:00:00+00:00,565612.3134706181
2021-11-12 07:15:00+00:00,957347.8050987204
2021-11-12 07:30:00+00:00,488714.7114677458
2021-11-12 07:45:00+00:00,61859.533178757236
2021-11-12 08:00:00+00:00,11265.084096580315
2021-11-12 08:15:00+00:00,1106698.0155665867
2021-11-12 08:30:00+00:00,449161.43613865285
2021-11-12 08:45:00+00:00,39910.61563830613
2021-11-12 09:00:00+00:00,97345.67542914895
2021-11-12 09:15:00+00:00,796885.9023443994
2021-11-12 09:30:00+00:00,751879.7371121095
2021-11-12 09:45:00+00:00,135659.6558782783
2021-11-12 10:00:00+00:00,569022.8190240655
2021-11-12 10:15:00+00:00,960758.3106521678
2021-11-12 10:30:00+00:00,492125.2170211932
2021-11-12 10:45:00+00:00,58449.02762530983
2021-11-12 11:00:00+00:00,7854.578543132906
2021-11-12 11:15:00+00:00,1110108.5211200342
2021-11-12 11:30:00+00:00,452571.94169210026
2021-11-12 11:45:00+00:00,36500.11008485872
2021-11-12 12:00:00+00:00,100756.18098259636
2021-11-12 12:15:00+00:00,800296.4078978468
2021-11-12 12:30:00+00:00,755290.242665557
2021-11-12 12:45:00+00:00,139070.16143172572
2021-11-12 13:00:00+00:00,572433.3245775129
2021-11-12 13:15:00+00:00,964168.8162056152
2021-11-12 13:30:00+00:00,495535.7225746406
2021-11-12 13:45:00+00:00,55038.52207186242
2021-11-12 14:00:00+00:00,4444.072989685497
2021-11-12 14:15:00+00:00,1113519.0266734816
2021-11-12 14:30:00+00:00,455982.44724554766
2021-11-12 14:45:00+00:00,33089.604531411314
2021-11-12 15:00:00+00:00,104166.68653604377
2021-11-12 15:15:00+00:00,803706.9134512942
2021-11-12 15:30:00+00:00,758700.7482190044
2021-11-12 15:45:00+00:00,142480.66698517313
2021-11-12 16:00:00+00:00,575843.8301309603
2021-11-12 16:15:00+00:00,967579.3217590626
2021-11-12 16:30:00+00:00,498946.228128088
2021-11-12 16:45:00+00:00,51628.01651841501
2021-11-12 17:00:00+00:00,1033.5674362380887
2021-11-12 17:15:00+00:00,1116929.532226929
2021-11-12 17:30:00+00:00,459392.9527989951
2021-11-12 17:45:00+00:00,29679.098977963906
2021-11-12 18:00:00+00:00,107577.19208949117
2021-11-12 18:15:00+00:00,807117.4190047416
2021-11-12 18:30:00+00:00,762111.2537724518
2021-11-12 18:45:00+00:00,145891.17253862054
2021-11-12 19:00:00+00:00,579254.3356844077
2021-11-12 19:15:00+00:00,970989.82731251
2021-11-12 19:30:00+00:00,502356.7336815354
2021-11-12 19:45:00+00:00,48217.5109649676
2021-11-12 20:00:00+00:00,2376.93811720932
2021-11-12 20:15:00+00:00,1120340.0377803764
2021-11-12 20:30:00+00:00,462803.4583524425
2021-11-12 20:45:00+00:00,26268.593424516497
2021-11-12 21:00:00+00:00,110987.69764293858
2021-11-12 21:15:00+00:00,810527.924558189
2021-11-12 21:30:00+00:00,765521.7593258992
2021-11-12 21:45:00+00:00,149301.67809206794
2021-11-12 22:00:00+00:00,582664.8412378551
2021-11-12 22:15:00+00:00,974400.3328659574
2021-11-12 22:30:00+00:00,505767.2392349828
2021-11-12 22:45:00+00:00,44807.00541152019
2021-11-12 23:00:00+00:00,5787.4436706567285
2021-11-12 23:15:00+00:00,1123750.5433338238
2021-11-12 23:30:00+00:00,466213.9639058899
2021-11-12 23:45:00+00:00,22858.08787106909
2021-11-13 00:00:00+00:00,114398.20319638599
2021-11-13 00:15:00+00:00,813938.4301116364
2021-11-13 00:30:00+00:00,768932.2648793466
2021-11-13 00:45:00+00:00,152712.18364551535
2021-11-13 01:00:00+00:00,586075.3467913026
2021-11-13 01:15:00+00:00,977810.8384194048
2021-11-13 01:30:00+00:00,509177.7447884302
2021-11-13 01:45:00+00:00,41396.499858072784
2021-11-13 02:00:00+00:00,9197.949224104137
2021-11-13 02:15:00+00:00,1127161.0488872712
2021-11-13 02:30:00+00:00,469624.4694593373
2021-11-13 02:45:00+00:00,19447.58231762168
2021-11-13 03:00:00+00:00,117808.7087498334
2021-11-13 03:15:00+00:00,817348.9356650838
2021-11-13 03:30:00+00:00,772342.770432794
2021-11-13 03:45:00+00:00,156122.68919896276
2021-11-13 04:00:00+00:00,589485.85234475
2021-11-13 04:15:00+00:00,981221.3439728522
2021-11-13 04:30:00+00:00,512588.25034187763
2021-11-13 04:45:00+00:00,37985.994304625376
2021-11-13 05:00:00+00:00,12608.454777551546
2021-11-13 05:15:00+00:00,1130571.5544407186
2021-11-13 05:30:00+00:00,473034.9750127847
2021-11-13 05:45:00+00:00,16037.076764174271
2021-11-13 06:00:00+00:00,121219.21430328081
2021-11-13 06:15:00+00:00,820759.4412185312
2021-11-13 06:30:00+00:00,775753.2759862414
2021-11-13 06:45:00+00:00,159533.19475241017
2021-11-13 07:00:00+00:00,592896.3578981974
2021-11-13 07:15:00+00:00,984631.8495262996
2021-11-13 07:30:00+00:00,515998.75589532504
2021-11-13 07:45:00+00:00,34575.48875117797
2021-11-13 08:00:00+00:00,16018.960330998954
2021-11-13 08:15:00+00:00,1133982.059994166
2021-11-13 08:30:00+00:00,476445.4805662321
2021-11-13 08:45:00+00:00,12626.571210726863
2021-11-13 09:00:00+00:00,124629.71985672822
2021-11-13 09:15:00+00:00,824169.9467719786
2021-11-13 09:30:00+00:00,779163.7815396888
2021-11-13 09:45:00+00:00,162943.70030585758
2021-11-13 10:00:00+00:00,596306.8634516448
2021-11-13 10:15:00+00:00,988042.355079747
2021-11-13 10:30:00+00:00,519409.26144877245
2021-11-13 10:45:00+00:00,31164.98319773056
2021-11-13 11:00:00+00:00,19429.465884446363
2021-11-13 11:15:00+00:00,1137392.5655476134
2021-11-13 11:30:00+00:00,479855.9861196795
2021-11-13 11:45:00+00:00,9216.065657279454
2021-11-13 12:00:00+00:00,128040.22541017563
2021-11-13 12:15:00+00:00,827580.452325426
2021-11-13 12:30:00+00:00,782574.2870931362
2021-11-13 12:45:00+00:00,166354.205859305
2021-11-13 13:00:00+00:00,599717.3690050922
2021-11-13 13:15:00+00:00,991452.8606331944
2021-11-13 13:30:00+00:00,522819.76700221986
2021-11-13 13:45:00+00:00,27754.47764428315
2021-11-13 14:00:00+00:00,22839.97143789377
2021-11-13 14:15:00+00:00,1140803.0711010608
2021-11-13 14:30:00+00:00,483266.49167312693
2021-11-13 14:45:00+00:00,5805.560103832046
2021-11-13 15:00:00+00:00,131450.73096362303
2021-11-13 15:15:00+00:00,830990.9578788735
2021-11-13 15:30:00+00:00,785984.7926465836
2021-11-13 15:45:00+00:00,169764.7114127524
2021-11-13 16:00:00+00:00,603127.8745585396
2021-11-13 16:15:00+00:00,994863.3661866419
2021-11-13 16:30:00+00:00,526230.2725556672
2021-11-13 16:45:00+00:00,24343.9720908358
2021-11-13 17:00:00+00:00,26250.476991341122
2021-11-13 17:15:00+00:00,1144213.5766545082
2021-11-13 17:30:00+00:00,486676.99722657434
2021-11-13 17:45:00+00:00,2395.054550384637
2021-11-13 18:00:00+00:00,134861.23651707044
2021-11-13 18:15:00+00:00,834401.4634323209
2021-11-13 18:30:00+00:00,789395.298200031
2021-11-13 18:45:00+00:00,173175.2169661998
2021-11-13 19:00:00+00:00,606538.380111987
